fund,fund_ticker,bbg_ticker,date,eqyticker,shares_vest,shares_cust,price_vest,price_cust,shares_diff,price_diff,discrepancy_type
P2726,P2726,P2726,2026-05-13,PFE,3421.0,3421.0,25.86,25.96,0.0,-0.1,Match
P2726,P2726,P2726,2026-05-13,PFE,3421.0,3421.0,25.86,25.96,0.0,-0.1,Match
P2726,P2726,P2726,2026-05-13,PG,1592.0,1592.0,142.24,142.24,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,PG,1592.0,1592.0,142.69,142.24,0.0,0.45,Match
P2726,P2726,P2726,2026-05-13,PG,1592.0,1592.0,142.69,142.24,0.0,0.45,Match
P2726,P2726,P2726,2026-05-13,PLTR,1840.0,1840.0,136.62,130.05,0.0,6.57,Match
P2726,P2726,P2726,2026-05-13,PLTR,1840.0,1840.0,136.62,130.05,0.0,6.57,Match
P2726,P2726,P2726,2026-05-13,PLTR,1840.0,1840.0,130.05,130.05,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,PM,1085.0,1085.0,185.67,187.91,0.0,-2.24,Match
P2726,P2726,P2726,2026-05-13,PM,1085.0,1085.0,185.67,187.91,0.0,-2.24,Match
P2726,P2726,P2726,2026-05-13,PM,1085.0,1085.0,187.91,187.91,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,PYPL,715.0,715.0,45.23,45.23,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,PYPL,715.0,715.0,44.97,45.23,0.0,-0.26,Match
P2726,P2726,P2726,2026-05-13,PYPL,715.0,715.0,44.97,45.23,0.0,-0.26,Match
P2726,P2726,P2726,2026-05-13,QCOM,639.0,639.0,213.37,213.17,0.0,0.2,Match
P2726,P2726,P2726,2026-05-13,QCOM,639.0,639.0,213.37,213.17,0.0,0.2,Match
P2726,P2726,P2726,2026-05-13,QCOM,639.0,639.0,213.2,213.17,0.0,0.03,Match
P2726,P2726,P2726,2026-05-13,RTX,1486.0,1486.0,176.52,178.11,0.0,-1.59,Match
P2726,P2726,P2726,2026-05-13,RTX,1486.0,1486.0,176.52,178.11,0.0,-1.59,Match
P2726,P2726,P2726,2026-05-13,RTX,1486.0,1486.0,178.11,178.11,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,SBUX,1254.0,1254.0,105.95,105.95,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,SBUX,1254.0,1254.0,107.01,105.95,0.0,1.06,Match
P2726,P2726,P2726,2026-05-13,SBUX,1254.0,1254.0,107.01,105.95,0.0,1.06,Match
P2726,P2726,P2726,2026-05-13,SCHW,1275.0,1275.0,89.8,91.17,0.0,-1.37,Match
P2726,P2726,P2726,2026-05-13,SCHW,1275.0,1275.0,91.17,91.17,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,SCHW,1275.0,1275.0,89.8,91.17,0.0,-1.37,Match
P2726,P2726,P2726,2026-05-13,SO,2113.0,2113.0,92.24,93.14,0.0,-0.9,Match
P2726,P2726,P2726,2026-05-13,SO,2113.0,2113.0,92.24,93.14,0.0,-0.9,Match
P2726,P2726,P2726,2026-05-13,SO,2113.0,2113.0,93.14,93.14,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,SPGI,237.0,237.0,413.65,406.55,0.0,7.1,Match
P2726,P2726,P2726,2026-05-13,SPGI,237.0,237.0,413.65,406.55,0.0,7.1,Match
P2726,P2726,P2726,2026-05-13,SPGI,237.0,237.0,406.55,406.55,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,T,4652.0,4652.0,25.22,24.74,0.0,0.48,Match
P2726,P2726,P2726,2026-05-13,T,4652.0,4652.0,25.22,24.74,0.0,0.48,Match
P2726,P2726,P2726,2026-05-13,T,4652.0,4652.0,24.74,24.74,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,TJX,655.0,655.0,148.61,147.03,0.0,1.58,Match
P2726,P2726,P2726,2026-05-13,TJX,655.0,655.0,148.61,147.03,0.0,1.58,Match
P2726,P2726,P2726,2026-05-13,TJX,655.0,655.0,147.03,147.03,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,TMO,226.0,226.0,446.03,446.03,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,TMO,226.0,226.0,457.87,446.03,0.0,11.84,Match
P2726,P2726,P2726,2026-05-13,TMO,226.0,226.0,457.87,446.03,0.0,11.84,Match
