source,date,fund,fund_ticker,bbg_ticker,optticker,shares_cust,quantity,category_description,asset_group,price,market_value,cusip,maturity_date
umb,2026-05-14,P2726,P2726,P2726,ABBV US 05/15/26 C200,-2.0,-2.0,OPTC_EQY,,11.6,-2320.0,5XI99L2D0,
umb,2026-05-14,P2726,P2726,P2726,ABT US 05/15/26 C85,-4.0,-4.0,OPTC_EQY,,0.45,-180.0,5QI99J7V5,
umb,2026-05-14,P2726,P2726,P2726,ACN US 05/15/26 C180,-1.0,-1.0,OPTC_EQY,,0.1,-10.0,5I599UPL4,
umb,2026-05-14,P2726,P2726,P2726,ADBE US 05/15/26 C252.5,-1.0,-1.0,OPTC_EQY,,0.08,-8.0,6IY99SJV1,
umb,2026-05-14,P2726,P2726,P2726,AMAT US 05/15/26 C435,-1.0,-1.0,OPTC_EQY,,20.7,-2070.0,6PI99MK02,
umb,2026-05-14,P2726,P2726,P2726,AMD US 05/15/26 C447.5,-2.0,-2.0,OPTC_EQY,,8.35,-1670.0,70199GEC8,
umb,2026-05-14,P2726,P2726,P2726,AMGN US 05/15/26 C330,-1.0,-1.0,OPTC_EQY,,6.48,-647.5,657992RR6,
umb,2026-05-14,P2726,P2726,P2726,AMT US 05/15/26 C175,-5.0,-5.0,OPTC_EQY,,0.28,-137.5,49E99VGG4,
umb,2026-05-14,P2726,P2726,P2726,AMZN US 05/15/26 C272.5,-12.0,-12.0,OPTC_EQY,,0.4,-486.0,70899E5Z5,
umb,2026-05-14,P2726,P2726,P2726,AVGO US 05/15/26 C430,-6.0,-6.0,OPTC_EQY,,11.6,-6960.0,5IC993C55,
umb,2026-05-14,P2726,P2726,P2726,AXP US 05/15/26 C315,-1.0,-1.0,OPTC_EQY,,1.37,-137.0,6I2992UW8,
umb,2026-05-14,P2726,P2726,P2726,BA US 05/15/26 C237.5,-2.0,-2.0,OPTC_EQY,,0.5,-101.0,6XI9993U7,
umb,2026-05-14,P2726,P2726,P2726,BAC US 05/15/26 C51.5,-9.0,-9.0,OPTC_EQY,,0.02,-13.5,6I099WH25,
umb,2026-05-14,P2726,P2726,P2726,BKNG US 05/15/26 C166.8,-2.0,-2.0,OPTC_EQY,,0.08,-15.0,6IW995GI5,
umb,2026-05-14,P2726,P2726,P2726,BMY US 05/15/26 C56,-3.0,-3.0,OPTC_EQY,,0.76,-226.5,6Z79941X1,
umb,2026-05-14,P2726,P2726,P2726,BRKB US 05/15/26 C477.5,-3.0,-3.0,OPTC_EQY,,7.08,-2122.5,6QP99IGJ5,
