fund_ticker,bbg_ticker,date,analysis_type,optticker,maturity,figi,occ_symbol,equity_underlying_ticker,equity_underlying_price,delta,strike,nav_shares,iiv_shares,trade_rebal,price,option_notional_value,option_market_value,option_delta_adjusted_notional,option_delta_adjusted_market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME,REGULATORY_STRUCTURE,SECURITY_TYP
P2726,P2726,2026-05-14,eod,AXP US 05/15/26 C315,2026-05-15,,AXP   260515C00315000,AXP,312.77,0.362926,315.0,-1,,,1.3,-31277.0,-130.0,-11351.236502,-47.18038,Financials,Consumer Finance,Financial Services,,Common Stock
P2726,P2726,2026-05-14,eod,BA US 05/15/26 C237.5,2026-05-15,,BA    260515C00237500,BA,229.21,0.136054,237.5,-2,,,0.5,-45842.0,-100.0,-6236.987468,-13.6054,Industrials,Aerospace & Defense,Capital Goods,,Common Stock
P2726,P2726,2026-05-14,eod,BAC US 05/15/26 C51.5,2026-05-15,,BAC   260515C00051500,BAC,49.85,0.040483,51.5,-9,,,0.01,-44865.0,-9.0,-1816.269795,-0.364347,Financials,Banks,Banks,,Common Stock
P2726,P2726,2026-05-14,eod,BKNG US 05/15/26 C166.8,2026-05-15,,BKNG  260515C00166800,BKNG,154.48,0.097389,166.8,-2,,,0.05,-30896.0,-10.0,-3008.930544,-0.97389,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,,Common Stock
P2726,P2726,2026-05-14,eod,BMY US 05/15/26 C56,2026-05-15,,BMY   260515C00056000,BMY,56.77,0.919649,56.0,-3,,,0.9,-17031.0,-270.0,-15662.542119,-248.30523,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock
P2726,P2726,2026-05-14,eod,BRKB US 05/15/26 C477.5,2026-05-15,,BRKB  260515C00477500,BRK/B,484.06,0.872912,477.5,-3,,,7.27,-145218.0,-2181.0,-126762.534816,-1903.821072,Financials,Financial Services,Financial Services,,Common Stock
P2726,P2726,2026-05-14,eod,C US 05/15/26 C126,2026-05-15,,C     260515C00126000,C,124.82,0.311754,126.0,-2,,,0.42,-24964.0,-84.0,-7782.626856,-26.187336,Financials,Banks,Banks,,Common Stock
P2726,P2726,2026-05-14,eod,CAT US 05/15/26 C895,2026-05-15,,CAT   260515C00895000,CAT,920.22,0.926537,895.0,-1,,,21.52,-92022.0,-2152.0,-85261.787814,-1993.907624,Industrials,Machinery,Capital Goods,,Common Stock
P2726,P2726,2026-05-14,eod,CB US 05/15/26 C320,2026-05-15,,CB    260515C00320000,CB,320.09,0.492937,320.0,-4,,,1.15,-128036.0,-460.0,-63113.681732,-226.75102,Financials,Insurance,Insurance,,Common Stock
P2726,P2726,2026-05-14,eod,CL US 05/15/26 C88,2026-05-15,,CL    260515C00088000,CL,88.84,0.709906,88.0,-1,,,1.2,-8884.0,-120.0,-6306.804904,-85.18872,Consumer Staples,Household Products,Household & Personal Products,,Common Stock
P2726,P2726,2026-05-14,eod,CMCSA US 05/15/26 C25.5,2026-05-15,,CMCSA 260515C00025500,CMCSA,25.17,0.327965,25.5,-5,,,0.08,-12585.0,-40.0,-4127.439525,-13.1186,Communication Services,Diversified Telecommunication Services,Telecommunication Services,,Common Stock
P2726,P2726,2026-05-14,eod,COP US 05/15/26 C114,2026-05-15,,COP   260515C00114000,COP,118.97,0.886488,114.0,-3,,,5.26,-35691.0,-1578.0,-31639.643208,-1398.878064,Energy,"Oil, Gas & Consumable Fuels",Energy,,Common Stock
P2726,P2726,2026-05-14,eod,COST US 05/15/26 C1005,2026-05-15,,COST  260515C01005000,COST,1041.25,1.0,1005.0,-1,,,31.65,-104125.0,-3165.0,-104125.0,-3165.0,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,,Common Stock
P2726,P2726,2026-05-14,eod,CRM US 05/15/26 C182.5,2026-05-15,,CRM   260515C00182500,CRM,167.58,0.018752,182.5,-2,,,0.04,-33516.0,-8.0,-628.492032,-0.150016,Information Technology,Software,Software & Services,,Common Stock
P2726,P2726,2026-05-14,eod,CSCO US 05/15/26 C96,2026-05-15,,CSCO  260515C00096000,CSCO,115.53,1.0,96.0,-18,,,19.51,-207954.0,-35118.0,-207954.0,-35118.0,Information Technology,Communications Equipment,Technology Hardware & Equipment,,Common Stock
P2726,P2726,2026-05-14,eod,CVS US 05/15/26 C90,2026-05-15,,CVS   260515C00090000,CVS,97.15,0.950526,90.0,-3,,,7.49,-29145.0,-2247.0,-27703.08027,-2135.831922,Health Care,Health Care Providers & Services,Health Care Equipment & Services,,Common Stock
